iter	Passed	Remaining
370	2050	3475
371	2052	3465
372	2056	3456
373	2058	3446
374	2061	3435
375	2063	3424
376	2065	3413
377	2068	3404
378	2072	3396
379	2075	3386
380	2078	3376
381	2080	3366
382	2083	3355
383	2085	3345
384	2089	3337
385	2091	3326
386	2093	3316
387	2096	3307
388	2099	3297
389	2104	3291
390	2106	3281
391	2109	3272
392	2112	3262
393	2115	3253
394	2119	3246
395	2122	3237
396	2125	3227
397	2127	3218
398	2130	3208
399	2135	3203
400	2139	3195
401	2142	3186
402	2145	3177
403	2150	3171
404	2153	3163
405	2155	3154
406	2158	3144
407	2161	3135
